id,plane_type,departure,D_day,D_time,A_day,A_time
CDG4970,B738,TAO / ZSQD,Sat,21:21 ,Sat,22:39 
CUH2506,B738,URC / ZWWW,Sat,21:20 ,Sun,01:03 
CSN3618,B738,SZX / ZGSZ,Sat,21:20 ,Sat,23:23 
LKE9673,B736,MIG / ZUMY,Sat,21:15 ,Sat,22:47 
CDG8084,B738,XMN / ZSAM,Sat,21:13 ,Sat,23:04 
CHH7645,B738,DLC / ZYTL,Sat,21:13 ,Sat,22:59 
YZR7491,B744,PANC,Sat,21:12 ,Sat,12:32 
CSN8534,B738,CAN / ZGGG,Sat,21:09 ,Sat,23:06 
CSH9468,B738,SHA / ZSSS,Sat,21:08 ,Sat,22:24 
CSN6369,B738,KMG / ZPPP,Sat,21:05 ,Sat,23:22 
CHB6311,A320,SZX / ZGSZ,Sat,20:56 ,Sat,22:57 
HXA2649,A320,MDL / VYMD,Sat,20:52 ,Sat,22:22 
CSC8954,A320,HGH / ZSHC,Sat,20:49 ,Sat,22:02 
KNA8336,B737,BSD / ZPBS,Sat,20:47 ,Sat,23:21 
CDC8782,A320,HGH / ZSHC,Sat,20:41 ,Sat,22:00 
CSN3738,B738,ZUH / ZGSD,Sat,20:32 ,Sat,22:37 
CHH7826,B738,URC / ZWWW,Sat,20:32 ,Sun,00:18 
UEA1844,A319,NNG / ZGNN,Sat,20:21 ,Sat,22:34 
CSN6918,B738,URC / ZWWW,Sat,20:18 ,Sun,00:05 
CHH7720,B738,CAN / ZGGG,Sat,20:16 ,Sat,22:14 
CHH7446,B738,XMN / ZSAM,Sat,20:13 ,Sat,22:11 
CSN3394,B738,INC / ZLIC,Sat,20:12 ,Sat,21:33 
CHB6331,A320,WNZ / ZSWZ,Sat,20:04 ,Sat,21:52 
CSH9324,B733,PVG / ZSPD,Sat,19:57 ,Sat,21:29 
CXA8358,B738,XMN / ZSAM,Sat,19:52 ,Sat,21:48 
CSN6244,A321,SYX / ZJSY,Sat,19:51 ,Sat,22:23 
CSN6594,B738,CAN / ZGGG,Sat,19:44 ,Sat,21:35 
CHB6362,A320,SWA / ZGOW,Sat,19:42 ,Sat,21:48 
CHH7850,B738,URC / ZWWW,Sat,19:39 ,Sat,23:28 
CES5394,A320,PVG / ZSPD,Sat,19:37 ,Sat,21:01 
CHB6382,A320,CAN / ZGGG,Sat,19:32 ,Sat,21:28 
CCA4045,A320,CGQ / ZYCC,Sat,19:26 ,Sat,21:35 
KNA8278,B737,KMG / ZPPP,Sat,19:25 ,Sat,21:41 
TLM965,B739,DMK / VTBD,Sat,19:23 ,Sat,21:52 
GCR7522,A320,URC / ZWWW,Sat,19:18 ,Sat,23:11 
CXA8056,B738,FOC / ZSFZ,Sat,19:11 ,Sat,20:57 
CHH7360,B738,HAK / ZJHK,Sat,19:07 ,Sat,21:25 
CHB6445,A320,LJG / ZPLJ,Sat,19:06 ,Sat,21:31 
CES9896,A320,NGB / ZSNB,Sat,19:04 ,Sat,20:37 
CSC8502,A330,CTU / ZUUU,Sat,18:58 ,Sat,20:45 
LKE9630,A320,CTU / ZUUU,Sat,18:52 ,Sat,20:42 
CSZ8369,B738,KMG / ZPPP,Sat,18:44 ,Sat,20:47 
CSN6009,B738,ICN / RKSI,Sat,18:42 ,Sat,21:29 
CBJ5384,A321,XMN / ZSAM,Sat,18:40 ,Sat,20:32 
CSC8216,A320,KMG / ZPPP,Sat,18:30 ,Sat,20:37 
CSH9376,A321,SHA / ZSSS,Sat,18:26 ,Sat,19:52 
EPA6247,B738,URC / ZWWW,Sat,18:22 ,Sat,22:57 
CXA8330,B738,XMN / ZSAM,Sat,18:19 ,Sat,20:11 
UEA2769,A319,SHE / ZYTX,Sat,18:09 ,Sat,20:01 
CSN3940,B737,HGH / ZSHC,Sat,18:00 ,Sat,19:21 
CHH7074,B738,DLC / ZYTL,Sat,17:55 ,Sat,19:30 
CSZ9304,B738,SZX / ZGSZ,Sat,17:53 ,Sat,19:57 
CSN8688,B738,CAN / ZGGG,Sat,17:42 ,Sat,19:36 
CXA8046,B738,JJN / ZSQZ,Sat,17:41 ,Sat,19:35 
CCA1392,B738,PEK / ZBAA,Sat,17:39 ,Sat,18:49 
CES5253,A320,INC / ZLIC,Sat,17:37 ,Sat,19:11 
EPA6308,B738,ZUH / ZGSD,Sat,17:34 ,Sat,19:54 
CSC8858,A321,CTU / ZUUU,Sat,17:32 ,Sat,19:16 
CJX8901,B738,HRB / ZYHB,Sat,17:28 ,Sat,20:13 
CBJ5636,A321,HGH / ZSHC,Sat,17:26 ,Sat,18:45 
CDG4710,B738,YNT / ZSYT,Sat,17:22 ,Sat,18:37 
GCR7841,A320,HNY / ZGHY,Sat,17:20 ,Sat,18:47 
JYH1078,B738,KWE / ZUGY,Sat,17:17 ,Sat,19:37 
CCA8936,B738,DLC / ZYTL,Sat,17:10 ,Sat,18:47 
JOY1556,MA6,XFN / ZHXF,Sat,17:07 ,Sat,18:08 
CHH7423,B738,HET / ZBHH,Sat,17:05 ,Sat,18:14 
CBJ5646,A320,LJG / ZPLJ,Sat,17:03 ,Sat,19:17 
CDG2282,B738,RQA,Sat,17:02 ,Sat,12:57 
EPA6286,B738,NTG / ZSNT,Sat,17:00 ,Sat,18:45 
GBL1021,A319,ENH / ZHES,Sat,16:50 ,Sat,18:04 
CSN3593,B738,PVG / ZSPD,Sat,16:50 ,Sat,18:18 
CSN6231,B738,XMN / ZSAM,Sat,16:49 ,Sat,18:38 
CHB6245,A320,URC / ZWWW,Sat,16:46 ,Sat,20:45 
CES2760,A320,NKG / ZSNJ,Sat,16:42 ,Sat,17:43 
DKH1089,A320,RLK / ZBYZ,Sat,16:41 ,Sat,18:14 
HDA745,A333,HKG / VHHH,Sat,16:36 ,Sat,18:44 
9H6036,B738,SWA / ZGOW,Sat,16:28 ,Sat,18:38 
CSN3389,B737,CAN / ZGGG,Sat,16:25 ,Sat,18:18 
CES2196,A320,LHW / ZLLL,Sat,16:24 ,Sat,18:00 
CSH9447,B738,KWL / ZGKL,Sat,16:23 ,Sat,18:02 
CSN653,A330,LHR / EGLL,Sat,16:19 ,Sat,20:21 
CHH7581,B738,WNZ / ZSWZ,Sat,16:13 ,Sat,17:58 
GCR6418,E190,DLC / ZYTL,Sat,16:13 ,Sat,17:53 
CHH7416,B738,INC / ZLIC,Sat,16:08 ,Sat,17:46 
CSN8589,B737,LJG / ZPLJ,Sat,16:02 ,Sat,18:28 
CDG4780,B738,XMN / ZSAM,Sat,15:58 ,Sat,18:02 
CHB6439,A320,JHG / ZPJH,Sat,15:56 ,Sat,18:37 
CSN3395,B738,CAN / ZGGG,Sat,15:48 ,Sat,17:41 
LKE9952,A320,KMG / ZPPP,Sat,15:45 ,Sat,17:57 
CSN3939,B738,URC / ZWWW,Sat,15:42 ,Sat,19:30 
JYH1030,B738,CAN / ZGGG,Sat,15:40 ,Sat,17:55 
CSN8569,B738,SHE / ZYTX,Sat,15:26 ,Sat,17:08 
CSH9467,B738,LHW / ZLLL,Sat,15:23 ,Sat,17:01 
CUH2505,B738,TAO / ZSQD,Sat,15:19 ,Sat,16:40 
CCA1758,A320,HGH / ZSHC,Sat,15:09 ,Sat,16:23 
CBJ5383,A321,URC / ZWWW,Sat,15:07 ,Sat,19:02 
CES5575,A320,KMG / ZPPP,Sat,15:01 ,Sat,17:11 
CQH8689,A320,KIX / RJBB,Sat,15:00 ,Sat,19:06 
CSN3617,B738,BPE / ZBDH,Sat,14:57 ,Sat,16:09 
LKE9737,737,HET / ZBHH,Sat,14:56 ,Sat,16:12 
CSN6593,B738,DSN / ZBDS,Sat,14:54 ,Sat,15:57 
GCR6600,A320,CKG / ZUCK,Sat,14:52 ,Sat,16:20 
CHH7825,B738,DLC / ZYTL,Sat,14:50 ,Sat,16:28 
CHH7445,B738,INC / ZLIC,Sat,14:48 ,Sat,16:28 
CSN6477,B738,SZX / ZGSZ,Sat,14:48 ,Sat,16:46 
CJX8983,B738,KRL / ZWKL,Sat,14:44 ,Sat,19:29 
CHH7740,B738,CAN / ZGGG,Sat,14:40 ,Sat,16:32 
CSH9296,B738,HGH / ZSHC,Sat,14:36 ,Sat,15:52 
TLM977,B739,HKT / VTSP,Sat,14:31 ,Sat,17:59 
CCA4046,A320,CTU / ZUUU,Sat,14:19 ,Sat,16:07 
CHH7359,B738,UYN / ZLYL,Sat,14:19 ,Sat,15:30 
CSN3479,B738,CKG / ZUCK,Sat,14:14 ,Sat,15:49 
CSN6917,B738,FOC / ZSFZ,Sat,14:11 ,Sat,16:03 
CSN8827,A320,HAK / ZJHK,Sat,14:06 ,Sat,16:25 
CCA4574,B738,CKG / ZUCK,Sat,14:02 ,Sat,15:35 
UEA1843,A319,FOC / ZSFZ,Sat,14:01 ,Sat,15:52 
LKE9561,737,JJN / ZSQZ,Sat,13:57 ,Sat,15:48 
CSN3495,B737,KMG / ZPPP,Sat,13:53 ,Sat,16:04 
HXA2622,CRJ9,BAV / ZBOW,Sat,13:45 ,Sat,15:06 
CXA8336,B738,XMN / ZSAM,Sat,13:41 ,Sat,15:27 
CHB6361,A320,XNN / ZLXN,Sat,13:35 ,Sat,15:22 
CSN3393,B738,CAN / ZGGG,Sat,13:35 ,Sat,15:27 
CHB6261,A320,TAO / ZSQD,Sat,13:34 ,Sat,14:59 
CBJ5726,A320,SYX / ZJSY,Sat,13:30 ,Sat,16:10 
CHB6241,A320,KWE / ZUGY,Sat,13:30 ,Sat,15:21 
CSN6601,B738,KMG / ZPPP,Sat,13:21 ,Sat,15:31 
CHH7849,B738,FOC / ZSFZ,Sat,13:16 ,Sat,15:12 
GCR7521,A320,KWE / ZUGY,Sat,13:13 ,Sat,15:04 
YZR7525,787,URC / ZWWW,Sat,13:04 ,Sat,16:48 
CHB6309,A320,KRL / ZWKL,Sat,13:02 ,Sat,17:04 
CHH7646,B738,SYX / ZJSY,Sat,13:02 ,Sat,15:41 
LKE9565,737,KWE / ZUGY,Sat,12:55 ,Sat,14:51 
EPA6303,B738,NNG / ZGNN,Sat,12:54 ,Sat,15:25 
CSN6726,A321,HAK / ZJHK,Sat,12:39 ,Sat,15:01 
CSN3471,B738,CTU / ZUUU,Sat,12:38 ,Sat,14:22 
